brand,income,sales,return_rate,cogs_margin,avg_price,income_share
联想（Lenovo）,1349382101.0,199867,0.034,0.0547,6751.400186123772,0.6696811590523181
华硕（ASUS）,221322051.0,25782,0.0397,0.0564,8584.363160344426,0.10983931647505693
ThinkPad,201526415.0,27972,0.0435,0.0478,7204.576540826541,0.10001499432728762
惠普(HP),156941132.0,19928,0.0456,0.054,7875.408069048575,0.07788788594635644
宏碁（acer）,42628142.0,5888,0.0565,0.0762,7239.833899456522,0.021155804217093878
雷神,33928073.0,3919,0.0442,0.0666,8657.32916560347,0.01683807072452909
七彩虹,6490696.0,782,0.0317,0.0493,8300.122762148338,0.0032212497980483026
微星,2629124.0,275,0.0363,0.0422,9560.450909090909,0.0013048007723738635
机械革命,114286.0,12,0.0,0.01,9523.833333333334,5.6718686935846064e-05
